DATE,10-Year Real Interest Rate,Bank Credit All Commercial Banks,CPI All Urban Consumers,CPI All Items,Continued Claims (Insured Unemployment),Federal Funds Rate,GDP,Households Owners Equity in Real Estate Level,M1,M2,Median CPI,Personal Savings Rate,Real GDP,Sticky Price Consumer Price Index less Food and Energy,Sticky Price Consumer Price Index,Unemployment Rate,NASDAQ Price,S&P 500 Price,Economic Health Index
6/16/2024,1.439816822,16669.28723,310.8454183,0.559264967,738439.608,4.906838922,27271.65397,31439.05121,18892.40416,19986.21537,4.907054528,5.1,20355.04342,6.396534202,0.383313675,3.599981722,12247.27518,4101.001419,316979.2068
6/23/2024,1.437243164,16661.39549,310.96225,0.521570056,741599.3428,4.935969034,27292.32433,31439.11,18888.91802,19985.37022,4.928852409,5.089766268,20371.81786,6.397165872,0.385450832,3.589918261,12241.76064,4097.717057,317873.0745
6/30/2024,1.44503696,16655.95757,311.0732999,0.536244775,652137.3869,4.908549415,27299.01925,31441.73949,18900.23474,19973.97948,4.926282715,5.088829392,20372.50194,6.392667156,0.383837692,3.586309595,12233.34117,4089.790552,292525.4912
7/7/2024,1.441428209,16648.2799,311.1944483,0.523285321,711409.6714,4.926575393,27302.5598,31450.16049,18898.50892,19963.69734,4.929539032,5.083480835,20367.69624,6.3950969,0.385368352,3.584203685,12221.68785,4090.174243,309283.4362
7/14/2024,1.439816822,16642.26084,311.2930277,0.559264967,691677.6118,4.906838974,27305.77513,31458.91815,18892.96257,19950.13008,4.907054528,5.1,20360.14822,6.396225434,0.383313675,3.599981722,12248.05636,4101.072296,303703.8699
7/21/2024,1.437243164,16634.64586,311.4069714,0.521570056,695304.9666,4.935969076,27326.07744,31458.77656,18889.47085,19949.65833,4.928852409,5.089766268,20376.86871,6.396874032,0.385450832,3.58991826,12242.51892,4097.787225,304730.4944
7/28/2024,1.44503696,16629.48185,311.515152,0.536244775,606305.9544,4.908549449,27332.40828,31461.2077,18900.78204,19938.63712,4.926282715,5.088829392,20377.49941,6.392391317,0.383837692,3.586309595,12234.07722,4089.860018,279514.3407
8/4/2024,1.441428209,16622.07531,311.6334496,0.523285321,666036.5532,4.92657542,27335.58867,31469.43235,18899.05074,19928.7207,4.929539032,5.083480835,20372.64089,6.394836183,0.385368352,3.584203684,12222.40232,4090.243015,296402.401
8/11/2024,1.439816822,16616.32459,311.7291966,0.559264967,646758.2248,4.906838995,27338.44773,31477.99564,18893.49898,19915.51537,4.907054528,5.1,20365.04061,6.39597901,0.383313675,3.599981721,12248.74988,4101.140379,290951.6491
8/18/2024,1.437243164,16608.9752,311.8403262,0.521570056,650834.7734,4.935969093,27358.39761,31477.66164,18890.0019,19915.4018,4.928852409,5.089766268,20381.70939,6.396641118,0.385450832,3.58991826,12243.1921,4097.854628,292105.8
8/25/2024,1.44503696,16604.07407,311.9457108,0.536244775,562280.4632,4.908549463,27364.37982,31479.90232,18901.30777,19904.73506,4.926282715,5.088829392,20382.28893,6.392171172,0.383837692,3.586309595,12234.73067,4089.926747,267015.8976
9/1/2024,1.441428209,16596.92771,312.0612305,0.523285321,622451.317,4.926575431,27367.21535,31487.93842,18899.57122,19895.16945,4.929539032,5.083480835,20377.3798,6.394628108,0.385368352,3.584203684,12223.0366,4090.309076,284028.9469
9/8/2024,1.439816822,16591.43451,312.1542175,0.559264967,603608.8409,4.906839004,27369.73327,31496.31506,18894.01426,19882.3113,4.907054528,5.1,20369.72943,6.395782343,0.383313675,3.599981721,12249.36556,4101.20578,278701.9341
9/15/2024,1.437243164,16584.34,312.2626049,0.521570056,608116.8834,4.9359691,27389.34568,31495.7963,18890.51202,19882.54131,4.928852409,5.089766268,20386.34865,6.396455233,0.385450832,3.58991826,12243.78973,4097.919375,279978.587
9/22/2024,1.44503696,16579.69114,312.365265,0.536244775,519989.7521,4.908549468,27394.99406,31497.85408,18901.81279,19872.21461,4.926282715,5.088829392,20386.87917,6.391995478,0.383837692,3.586309594,12235.31078,4089.990846,255009.9616
9/29/2024,1.441428209,16572.79447,312.4780778,0.523285321,580583.5129,4.926575435,27397.49937,31505.70912,18900.07119,19862.98551,4.929539032,5.083480835,20381.92152,6.394462046,0.385368352,3.584203684,12223.5997,4090.372535,272143.0753
10/6/2024,1.439816822,16567.5484,312.5683753,0.559264967,562159.7149,4.906839008,27399.69062,31513.90654,18894.50923,19850.46039,4.907054528,5.1,20374.22315,6.395625385,0.383313675,3.599981721,12249.91216,4101.268604,266934.9265
10/13/2024,1.437243164,16560.69849,312.6740905,0.521570056,567082.2486,4.935969103,27418.97989,31513.21036,18891.00204,19851.01999,4.928852409,5.089766268,20390.79488,6.39630688,0.385450832,3.589918259,12244.3203,4097.98157,268329.2547
10/20/2024,1.44503696,16556.29173,312.7740958,0.536244775,479365.4637,4.908549471,27424.30863,31515.0925,18902.29791,19841.01946,4.926282715,5.088829392,20391.2784,6.391855259,0.383837692,3.586309594,12235.82579,4090.05242,243477.128
10/27/2024,1.441428209,16549.63468,312.8842709,0.523285321,540365.4674,4.926575437,27426.49773,31522.77368,18900.55146,19832.11316,4.929539032,5.083480835,20386.27425,6.394329514,0.385368352,3.584203683,12224.09961,4090.433493,260725.5754
11/3/2024,1.439816822,16544.62577,312.9719476,0.559264967,522343.8498,4.906839009,27428.37618,31530.79899,18894.98469,19819.90749,4.907054528,5.1,20378.52989,6.395500119,0.383313675,3.59998172,12250.39741,4101.328953,255631.6072
11/10/2024,1.437243164,16538.0106,313.0750591,0.521570056,527664.5422,4.935969104,27447.35603,31529.93244,18891.47275,19820.78324,4.928852409,5.089766268,20395.0561,6.396188482,0.385450832,3.589918259,12244.79132,4098.041315,257138.9742
11/17/2024,1.44503696,16533.83617,313.1724773,0.536244775,440341.9343,4.908549471,27452.37868,31531.64593,18902.76392,19811.0956,4.926282715,5.088829392,20395.49458,6.391743351,0.383837692,3.586309593,12236.283,4090.111567,232398.7561
11/24/2024,1.441428209,16527.40906,313.2800821,0.523285321,501732.1734,4.926575438,27454.265,31539.16016,18901.01281,19802.49894,4.929539032,5.083480835,20390.44587,6.394223742,0.385368352,3.584203683,12224.54342,4090.492048,249757.9931
12/1/2024,1.439816822,16522.62775,313.3652051,0.559264967,484096.8887,4.90683901,27455.84394,31547.0202,18895.44142,19790.59971,4.907054528,5.1,20382.65742,6.395400146,0.383313675,3.59998172,12250.8282,4101.386923,244773.7065
12/8/2024,1.437243164,16516.23785,313.4657793,0.521570056,489800.0507,4.935969104,27474.52751,31545.99005,18891.92491,19791.77873,4.928852409,5.089766268,20399.14,6.39609399,0.385450832,3.589918258,12245.20949,4098.098706,246389.6585
12/15/2024,1.44503696,16512.28638,313.5606766,0.536244775,402856.0877,4.908549472,27479.25707,31547.54159,18903.21156,19782.39122,4.926282715,5.088829392,20399.53532,6.39165404,0.383837692,3.586309593,12236.6889,4090.168384,221756.9395
12/22/2024,1.441428209,16506.07995,313.6657768,0.523285321,464621.1852,4.926575438,27480.85346,31554.8955,18901.45597,19774.09158,4.929539032,5.083480835,20394.44391,6.394139326,0.385368352,3.584203683,12224.93742,4090.548297,239222.6007
12/29/2024,1.439816822,16501.51705,313.7484113,0.559264967,447357.0105,4.90683901,27482.1456,31562.59684,18895.88016,19762.48631,4.907054528,5.1,20386.6132,6.395320359,0.383313675,3.59998172,12251.21065,4101.442609,234343.6742
1/5/2025,1.437243164,16495.34333,313.8465131,0.521570056,453427.5713,4.935969105,27500.54546,31561.40959,18892.35926,19763.95623,4.928852409,5.089766268,20403.05398,6.396018577,0.385450832,3.589918258,12245.58072,4098.153835,236063.9327
1/12/2025,1.44503696,16491.60583,313.938954,0.536244775,366847.3331,4.908549472,27504.99437,31562.80561,18903.64156,19754.85662,4.926282715,5.088829392,20403.40794,6.391582761,0.383837692,3.586309593,12237.04925,4090.222962,211534.4772
1/19/2025,1.441428209,16485.61117,314.0416135,0.523285321,428972.5181,4.926575438,27506.31315,31570.00557,18901.88167,19746.8419,4.929539032,5.083480835,20398.27559,6.394071956,0.385368352,3.584203682,12225.28721,4090.602329,229102.3694
1/26/2025,1.439816822,16481.25788,314.1218232,0.559264967,412064.8301,4.90683901,27507.33066,31577.55452,18896.3016,19735.5186,4.907054528,5.1,20390.40439,6.395256681,0.383313675,3.599981719,12251.55018,4101.496101,224324.6515
2/2/2025,1.437243164,16475.29162,314.2175157,0.521570056,418488.3126,4.935969105,27525.45886,31576.21641,18892.77649,19737.26758,4.928852409,5.089766268,20406.8051,6.395958391,0.385450832,3.589918258,12245.9103,4098.206792,226145.1066
2/9/2025,1.44503696,16471.75945,314.3075629,0.536244775,332257.467,4.908549472,27529.63904,31577.46309,18904.05462,19728.44413,4.926282715,5.088829392,20407.11941,6.391525875,0.383837692,3.586309592,12237.36916,4090.275389,201714.8457
2/16/2025,1.441428209,16465.96803,314.4078442,0.523285321,394728.5507,4.926575438,27530.69198,31584.51523,18902.2906,19720.70272,4.929539032,5.083480835,20401.94784,6.394018188,0.385368352,3.584203682,12225.59774,4090.654232,219380.9406
2/23/2025,1.439816822,16461.81589,314.485691,0.559264967,378163.3023,4.90683901,27531.44653,31591.91783,18896.70644,19709.6499,4.907054528,5.1,20394.03782,6.395205861,0.383313675,3.599981719,12251.8516,4101.547485,214700.4434
3/2/2025,1.437243164,16456.04872,314.5790359,0.521570056,384925.8002,4.935969105,27549.3146,31590.43486,18893.17728,19711.66657,4.928852409,5.089766268,20410.40013,6.395910357,0.385450832,3.589918257,12246.20288,4098.257662,216617.1471
3/9/2025,1.44503696,16452.7136,314.6667507,0.536244775,299030.5797,4.908549472,27553.23746,31591.53815,18904.4514,19703.10803,4.926282715,5.088829392,20410.67644,6.391480474,0.383837692,3.586309592,12237.65317,4090.325751,192282.1723
3/16/2025,1.441428209,16447.11721,314.7647145,0.523285321,361833.9323,4.926575438,27554.03585,31598.44832,18902.68342,19695.62879,4.929539032,5.083480835,20405.46728,6.393975277,0.385368352,3.584203682,12225.87342,4090.70409,210042.6005
3/23/2025,1.439816822,16443.15812,314.8402588,0.559264967,345597.6301,4.90683901,27554.5386,31605.71041,18897.09533,19684.83543,4.907054528,5.1,20397.52007,6.395165303,0.383313675,3.599981719,12252.1192,4101.596844,205455.4932
3/30/2025,1.437243164,16437.582,314.9313161,0.521570056,352685.7847,4.935969105,27572.15758,31604.08832,18893.56228,19687.10886,4.928852409,5.089766268,20413.84557,6.395872022,0.385450832,3.589918257,12246.46264,4098.306528,207464.653
4/6/2025,1.44503696,16434.43599,315.0167579,0.536244775,267112.9643,4.908549472,27575.83404,31605.05391,18904.83255,19678.80444,4.926282715,5.088829392,20414.08547,6.391444241,0.383837692,3.586309592,12237.90531,4090.374128,183221.2097
4/13/2025,1.441428209,16429.02677,315.1124635,0.523285321,330235.4931,4.926575438,27576.38869,31611.82777,18903.06075,19671.57669,4.929539032,5.083480835,20408.84028,6.39394103,0.385368352,3.584203681,12226.11816,4090.751983,201072.254
4/20/2025,1.439816822,16425.25293,315.1857642,0.559264967,314315.1752,4.90683901,27576.65032,31618.95491,18897.46889,19661.03221,4.907054528,5.1,20400.85742,6.395132933,0.383313675,3.599981718,12252.35677,4101.644259,196574.8568
